"CityName","Locality","CityTownName","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"新北市","八里區","新北市八里區","14860",15238,15551,15774,16143,16350,16393,16557,17059,17357,17648,18005,19667,20844,22302,24119,25470,26294,27576,28519,29624,30366,30955,31453,31989,32470,32738,33231,33958,34791,35423,35721,36201,37187,37678,38167,38493,38906,39531
"新北市","平溪區","新北市平溪區","10481",9898,9500,9026,8567,8162,7707,7330,7577,7103,6969,6925,7236,6855,6608,6339,6400,6227,5961,5793,6257,6029,5845,5789,6313,5855,5627,5520,5447,5344,5197,5109,5002,4954,4874,4778,4719,4666,4546
"新北市","雙溪區","新北市雙溪區","16239",15841,15372,14767,15089,14325,13595,13055,12815,12399,12145,12051,12075,11359,11026,10721,10951,10446,10181,9976,10483,10237,10061,9983,10371,9986,9963,9877,9832,9729,9555,9465,9412,9450,9245,9074,8939,8860,8665
"新北市","貢寮區","新北市貢寮區","17180",16960,16408,16082,16254,15659,15024,14585,14380,14209,14166,14289,14293,14129,13897,13848,13715,13616,13704,13550,13784,14439,14077,14091,14255,14006,14032,13970,13876,13776,13538,13412,13306,13115,12860,12706,12552,12301,12033
"新北市","金山區","新北市金山區","19564",19478,19505,19376,19272,19156,18813,18726,18621,18728,18751,18912,19457,19466,19861,20128,20797,20824,21155,21293,21611,21802,21851,21910,21972,22191,22215,22306,22408,22380,22447,22486,22392,22400,22260,22207,22015,21774,21396
"新北市","萬里區","新北市萬里區","18982",18989,18825,18703,18556,18340,18119,17831,18134,18553,18755,19215,19543,19312,19126,18816,18653,18678,18770,18574,18480,18698,19061,19038,19805,20231,20635,21085,21604,22009,22204,22429,22618,22678,22642,22490,22296,22068,21872
"新北市","烏來區","新北市烏來區","3151",3116,3116,3048,3120,3079,3041,3039,3208,3193,3247,3312,3627,3512,3500,3502,3742,3813,3906,4086,4531,4631,4740,4879,5128,5337,5402,5603,5748,5811,5927,5975,6036,6165,6187,6212,6320,6438,6433
"臺北市","松山區","臺北市松山區","(詳右表16區)",NA,NA,NA,NA,NA,NA,NA,NA,218133,217353,213639,213090,213496,211064,209932,205823,208198,207615,207303,205031,205289,205593,205962,208101,209422,210986,210097,207995,208434,209948,210905,210343,210473,209714,208326,206988,205702,204193
"臺北市","信義區","臺北市信義區",NA,NA,NA,NA,NA,NA,NA,NA,NA,245235,245447,247726,245255,246925,243780,240212,239888,242500,241917,240294,237530,237362,234590,232506,230780,231476,228868,227770,225364,225092,226541,227734,228496,229657,229211,227823,225753,223406,220021
"臺北市","大安區","臺北市大安區",NA,NA,NA,NA,NA,NA,NA,NA,NA,354704,352107,341765,335993,337309,329516,317201,314217,319003,317110,316977,315818,315714,313011,312554,312166,314171,314924,313848,311612,311565,313846,313426,313363,313693,313058,311506,309969,308843,307631
"臺北市","中山區","臺北市中山區",NA,NA,NA,NA,NA,NA,NA,NA,NA,237280,235963,232683,226775,226566,221585,215980,212238,215168,214652,215532,216043,217569,216999,216868,216906,219582,218483,218841,218245,220126,224102,226659,228753,230496,231350,231247,230710,229456,227387
"臺北市","中正區","臺北市中正區",NA,NA,NA,NA,NA,NA,NA,NA,NA,185263,183668,181233,175261,174708,170853,166892,164955,166532,165324,163090,161635,161808,159599,158486,157335,158604,159486,159337,158752,159536,161449,162154,163140,163388,162475,160403,159608,159000,158014
"臺北市","大同區","臺北市大同區",NA,NA,NA,NA,NA,NA,NA,NA,NA,151188,149817,147505,140922,138170,135098,134183,133661,134563,133503,132694,131343,131077,129440,128512,126810,126923,126128,124653,123399,124600,126640,128809,129820,130973,130929,130071,129278,127625,126043
"臺北市","萬華區","臺北市萬華區",NA,NA,NA,NA,NA,NA,NA,NA,NA,232934,230801,228384,220896,217632,213983,211091,208464,209780,207943,206855,204024,203451,200266,197445,194743,194879,192470,190361,188437,189099,190855,192628,193480,194715,194339,193539,191850,189603,187076
"臺北市","文山區","臺北市文山區",NA,NA,NA,NA,NA,NA,NA,NA,NA,226505,225755,226295,223822,223003,227707,229992,235361,243939,248602,253131,253920,256528,256506,258046,258953,261417,261666,261719,260869,262307,266442,269310,271341,273921,275367,275231,274424,273762,271806
"臺北市","南港區","臺北市南港區",NA,NA,NA,NA,NA,NA,NA,NA,NA,117134,117764,117698,115177,113412,112411,111733,110982,112699,113070,114144,113937,113839,113122,112982,113052,113258,113716,113672,113149,114023,116131,118490,119752,121257,122245,122516,122155,121670,120297
"臺北市","內湖區","臺北市內湖區",NA,NA,NA,NA,NA,NA,NA,NA,NA,207525,214750,215529,216149,219951,226055,231972,237349,244642,249588,253584,254521,258611,259789,261201,261837,264624,265518,266808,267704,270245,275652,280025,282842,285767,287566,287733,287771,287429,285795
"臺北市","士林區","臺北市士林區",NA,NA,NA,NA,NA,NA,NA,NA,NA,300478,300512,301068,298419,299127,298255,294405,293731,296810,295209,294443,292096,291493,289194,288921,287753,288212,287048,286065,283855,284539,287072,288894,289742,290455,290694,289939,288295,286544,283459
"臺北市","北投區","臺北市北投區",NA,NA,NA,NA,NA,NA,NA,NA,NA,243280,244055,242548,241486,243279,242556,241781,241824,246105,246779,248427,247904,249115,249029,248989,247939,249674,249976,249752,248047,249206,252290,254192,255444,257520,257862,257370,256456,255532,253319
"桃園市","桃園區","桃園市桃園區","185257",190535,195895,200829,204700,210753,220255,228404,235521,241263,246056,251520,256612,260680,271536,283861,294974,304857,316438,328754,338361,347160,357647,368765,377345,384803,391822,397056,401096,406851,410113,413488,415414,417366,427145,434243,440840,447302,452824
"桃園市","中壢區","桃園市中壢區","215414",221962,228567,233392,237271,241476,247639,254771,262653,269804,276878,282643,289054,295825,301287,306473,310723,314017,318649,324931,329913,334683,339586,346144,350981,355707,358656,362129,365109,369770,372429,376217,378918,381449,389782,396453,405216,412063,417380
"桃園市","大溪區","桃園市大溪區","69014",70237,71923,73082,73729,74087,74209,74811,75371,76602,77658,78545,79355,78711,80993,81646,82119,82443,82925,83348,83631,84265,84497,86070,87591,89365,90393,91146,91875,92081,91979,91891,91961,91887,93343,94102,94451,94885,95550
"桃園市","楊梅區","桃園市楊梅區","82341",84327,86026,87079,88720,89763,90717,92403,93853,96492,98943,101247,103216,105696,108249,113606,118958,122950,126323,129419,131694,133432,134937,136178,138258,140641,142895,145347,148092,150926,152441,154324,155754,157200,161098,163959,167639,170380,173049
"桃園市","蘆竹區","桃園市蘆竹區","49053",50161,50867,51266,51739,52105,52302,53494,54621,56302,58156,60119,62510,65447,69825,75345,81025,85764,91664,98039,103095,108452,113535,118581,122947,127765,131942,135768,138727,142120,143886,146779,149852,151354,155403,158802,161912,164384,166406
"桃園市","大園區","桃園市大園區","53550",54345,55397,56123,56669,56995,57089,57543,58186,59669,61219,63128,65212,67103,70210,72138,74009,75476,76482,77186,78163,78837,78967,79404,79683,79354,79627,80274,81309,81966,82136,82756,83586,84531,85565,87158,89281,90888,93078
"桃園市","龜山區","桃園市龜山區","74779",78104,80228,83701,85392,86022,86897,87865,90185,93886,95756,98134,99438,99102,103481,106052,108866,110352,112195,114391,115466,117969,119843,122705,125214,129846,131691,133977,135692,137996,138355,139605,140509,141998,145580,152817,157633,160591,162921
"桃園市","八德區","桃園市八德區","95934",102061,106945,111338,113886,117487,121514,125273,129247,133720,135897,137953,142822,152821,148899,151759,154412,158133,161700,164933,166355,167085,168910,169703,170695,171697,172125,173585,175127,176868,177435,178889,179502,181431,187420,192922,198074,202198,205974
"桃園市","龍潭區","桃園市龍潭區","61312",64335,66627,69328,71097,72498,74068,75851,78020,80335,82698,84572,86389,88249,90366,93716,97343,100280,103088,105723,107055,108530,109554,110222,111148,112072,112758,113633,114266,115166,114958,115146,115728,116211,118433,120201,121822,123175,124031
"桃園市","平鎮區","桃園市平鎮區","102899",110071,115674,121585,126348,130386,134925,138720,142924,147030,150703,154585,158621,163549,170038,175363,179830,183905,188344,191948,194521,196408,198273,198353,198375,200331,202680,205266,206471,207457,208561,209552,211146,212328,217887,221587,224219,226412,228436
"桃園市","新屋區","桃園市新屋區","46080",45836,45497,45371,45401,45050,44901,44758,45011,45336,45750,46775,47420,47881,48314,48998,49243,49050,49195,49100,49079,49454,49578,49593,49634,49844,49961,49683,49576,49112,48652,48276,48025,48058,48409,48772,48953,49210,49256
"桃園市","觀音區","桃園市觀音區","45758",45494,45081,44850,44613,44069,43635,43483,43486,43469,43911,44775,45896,47200,49085,49808,51138,51893,52699,53486,54227,54942,55473,56300,57552,58901,59799,60368,60831,61077,61676,62612,63003,63602,64785,65555,66472,67358,67956
"桃園市","復興區","桃園市復興區","12230",12108,11982,11808,11684,11518,11352,11250,11281,11267,11540,11550,11641,11691,11844,11691,11831,11864,11590,11359,11403,11386,11275,11011,10893,10835,10619,10454,10611,10670,10684,10626,10625,10913,10930,11192,11505,12026,12176
"臺中市","中區","臺中市中區","40460",41406,42409,42569,43646,43656,41381,38270,37177,35702,34447,33564,33291,31772,28282,26815,25554,24700,23557,23096,23420,23536,23535,23762,24062,23527,24010,23603,23228,22472,21610,20647,20008,19323,19020,18708,18450,18514,18390
"臺中市","東區","臺中市東區","78832",79288,79113,78655,77918,77842,77452,77237,77144,77365,76654,75909,74999,73406,72098,70808,70737,70104,70277,70575,70662,70146,70342,70529,72374,73091,73748,74072,73891,73969,73960,74282,74572,74922,75182,75396,75811,76175,75943
"臺中市","南區","臺中市南區","64516",65532,65623,66263,66361,66906,67676,68538,69383,70058,70868,71871,73321,75663,79671,84030,88032,91182,95450,98779,100747,103189,104911,105943,107272,109243,110358,111878,112722,113659,115032,116807,118349,120128,121786,123502,125067,125874,126571
